id,from_phase,to_phase,round_no,occurred_at
c59b1e9f-c359-47b0-984a-dabda8564d89,WAITING,TUTORIAL,0,2026-04-08 17:14:45.388844+00
94ea8abf-3623-4af9-835f-a61f12683827,TUTORIAL,PLAYING,1,2026-04-08 17:17:45.415187+00
c9a0c0c4-a108-4863-bca0-db202cddcc85,PLAYING,BREAK,1,2026-04-08 17:25:45.44982+00
6883b520-7c3e-45ca-9547-791502604fc3,BREAK,PLAYING,2,2026-04-08 17:28:45.50548+00
fc24767a-c6cb-4a72-b7ba-e432b19a5d92,PLAYING,BREAK,2,2026-04-08 17:36:45.537082+00
6f4f1d4b-0d88-4650-a15a-a962ca726c84,BREAK,PLAYING,3,2026-04-08 17:41:45.598023+00
da3a8098-78a5-4b28-b596-274c4e2e5f1f,PLAYING,BREAK,3,2026-04-08 17:49:45.6187+00
77f389e3-f10e-4bd1-88c5-2209941d49be,BREAK,PLAYING,4,2026-04-08 17:52:45.639993+00
a9c3e191-2d31-428a-a135-3f0aa208e4cf,PLAYING,FINISHED,4,2026-04-08 18:00:45.660084+00
