id,from_phase,to_phase,round_no,occurred_at
bd2b2aa9-f10c-4ccd-bdaf-ee0cadf9c663,WAITING,PLAYING,1,2026-03-08 21:18:01.277297+00
643efded-3d53-4e8e-99a1-6c0aaecf5c92,PLAYING,BREAK,1,2026-03-08 21:28:01.302331+00
61e99527-6deb-40db-83cc-ff6dd2f2dc54,BREAK,PLAYING,2,2026-03-08 21:31:01.359405+00
010adee3-28bc-48bc-a776-0972c3517524,PLAYING,BREAK,2,2026-03-08 21:41:01.382427+00
6e74d2af-c2e0-4721-a92b-3816807c54b2,BREAK,PLAYING,3,2026-03-08 21:44:01.637865+00
ec38bea7-74ad-484a-8553-379e825d59a9,PLAYING,FINISHED,3,2026-03-08 21:54:01.663666+00
